,Player,Year,pos,Draft_pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
27,Sam Young,2009,SF,36,77.25,78.75,82.75,105.5,33,138.5,27.5,133,223,4.9,,,,11.47,3.45
28,DeJuan Blair,2009,PF,37,77.25,78.5,86,106.5,33,139.5,26,132.5,277,12,,,18,11.5,3.45
29,Tyreke Evans,2009,SG,4,76,77.25,83.25,104,34,138,28.5,132.5,221,7.1,,,7,11.81,3.17
30,Derrick Brown,2009,SF,40,79.5,80.5,86.5,107.5,35.5,143,30.5,138,225,8.6,,,20,11.26,3.13
31,Jodie Meeks,2009,SG,41,75,76,76.5,98,37,135,28.5,126.5,211,8,,,14,10.96,3.1
32,Marcus Thornton,2009,SG,43,74.75,75.75,77,99,33,132,31,130,194,4.8,,,14,10.73,3.28
33,Chase Budinger,2009,SG,44,78.25,79,79,101,38.5,139.5,29.5,130.5,206,10,,,10,11.08,3.24
34,Danny Green,2009,SF,46,77.25,78.5,82,103,33,136,29,132,208,5.6,,,15,11.3,3.3
36,Jack McClinton,2009,SG,51,71.75,72.75,74.5,96,36.5,132.5,30,126,185,6.2,,,13,10.44,3.21
37,A.J. Price,2009,PG,52,72.5,74,75.75,97,31,128,26,123,193,12.4,,,11,10.99,3.22
39,Patrick Mills,2009,PG,55,71.25,72.5,74,95,33,128,27.5,122.5,175,6.9,,,8,10.87,3.1
40,Jonny Flynn,2009,PG,6,71.25,72.75,76,95.5,40,135.5,33,128.5,196,6.3,,,10,10.86,3.23
41,Stephen Curry,2009,SG,7,74,75.25,75.5,97,35.5,132.5,29.5,126.5,181,5.7,,,10,11.07,3.28
42,Jordan Hill,2009,PF,8,81.25,82.25,85.5,108,35,143,31,139,232,6,,,11,12.23,3.3
43,Demar DeRozan,2009,SG,9,77.5,78.5,81,102.5,38.5,141,29,131.5,211,4.9,,,5,11.88,3.31
50,John Wall,2010,PG,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,,10.84,3.14
51,Paul George,2010,SF,10,79.75,80.75,83.25,107,,,,,214,5,8.5,9,4,,
52,Cole Aldrich,2010,C,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,10,11.48,3.35
53,Xavier Henry,2010,SG,12,77.25,78.5,83.25,105,36.5,141.5,28.5,133.5,210,4.7,8.75,10,8,11.1,3.18
54,Ed Davis,2010,PF,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,,11.7,3.21
55,Patrick Patterson,2010,PF,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,17,11.14,3.25
56,Larry Sanders,2010,PF,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,7,12.49,3.27
57,Luke Babbitt,2010,SF,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,15,10.98,3.4
58,Eric Bledsoe,2010,PG,18,72.25,73.5,79.5,98,,,,,192,5.6,8.5,9.75,9,,
59,Avery Bradley,2010,PG,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,2,11.47,3.14
60,Evan Turner,2010,SG,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,9,11.06,3.27
61,James Anderson,2010,SG,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,14,11.86,3.19
62,Craig Brackins,2010,PF,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,6,11.65,3.39
63,Trevor Booker,2010,PF,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,22,11.15,3.1
64,Dominique Jones,2010,SG,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,19,10.88,3.31
65,Jordan Crawford,2010,SG,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,7,11.03,3.37
66,Daniel Orton,2010,C,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,13,12.32,3.39
67,Derrick Favors,2010,C,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,14,11.74,3.25
68,Lazar Hayward,2010,SF,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,15,10.87,3.31
69,Dexter Pittman,2010,C,32,81.5,83.5,90,111,,,,,303,20.8,10.25,10.5,,,
70,Hassan Whiteside,2010,C,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,12,11.83,3.54
71,Armon Johnson,2010,PG,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,18,11.25,3.19
72,Terrico White,2010,SG,36,75.75,77,81,101,40,141,31,132,203,3.7,9,10.5,10,11.38,3.15
73,Darington Hobson,2010,SG,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,,11.68,3.25
74,Andy Rautins,2010,SG,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,8,11.27,3.49
75,Wesley Johnson,2010,SF,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,16,11.43,3.14
76,Lance Stephenson,2010,SG,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,10,11.39,3.38
77,Jarvis Varnado,2010,PF,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,3,11.61,3.37
78,Devin Ebanks,2010,SG,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,6,11.69,3.44
79,Jerome Jordan,2010,C,44,83.5,84.75,89.25,113,,,,,244,6.9,9,10.25,,,
80,Tiny Gallon,2010,SF,47,80.5,81.5,88.5,109.5,28.5,138,23.5,133,302,15.1,9.25,10.5,14,13.44,3.7
81,Ryan Richards,2010,PF,49,82.5,83.75,85.5,110,28.5,138.5,25,135,230,8,9,9.75,4,11.33,3.37
82,DeMarcus Cousins,2010,C,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,,11.4,3.55
83,Solomon Alabi,2010,C,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,10,13.2,3.68
84,Willie Warren,2010,SG,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,10,11.21,3.5
85,Derrick Caracter,2010,PF,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,22,12.78,3.61
86,Stanley Robinson,2010,SF,59,78.5,79.75,84,107.5,37.5,145,,,213,8.3,9,9,6,11.65,3.23
87,Ekpe Udoh,2010,PF,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,10,11.15,3.29
88,Greg Monroe,2010,C,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,15,12.1,3.35
89,Al-Farouq Aminu,2010,SF,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,13,11.29,3.3
90,Gordon Hayward,2010,SG,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,10,11.73,3.22
98,Jimmer Fredette,2011,SG,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,14,10.42,3.21
99,Klay Thompson,2011,SG,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24
100,Alec Burks,2011,SG,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,5,10.96,3.17
101,Markieff Morris,2011,PF,13,79.75,81.25,82.75,106.5,31.5,138,27,133.5,241,10.2,8.5,8.25,11,,3.4
102,Marcus Morris,2011,PF,14,79,80.75,82,105.5,33,138.5,29,134.5,230,8,8.25,8.5,11,,3.15
103,Kawhi Leonard,2011,SF,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,3,11.45,3.15
104,Nikola Vucevic,2011,PF,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,8,12.02,3.27
105,Iman Shumpert,2011,PG,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,18,11.1,3.18
106,Chris Singleton,2011,PF,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,15,11.33,3.09
107,Tobias Harris,2011,PF,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,12,10.96,3.17
108,Derrick Williams,2011,SF,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23
109,Nolan Smith,2011,PG,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,9,11.05,3.17
110,Kenneth Faried,2011,PF,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,16,11.35,3.26
111,Marshon Brooks,2011,SG,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,5,10.74,3.09
112,Jordan Hamilton,2011,SF,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,7,11.47,3.3
113,JaJuan Johnson (Purdue),2011,PF,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,15,11.21,3.14
114,Norris Cole,2011,PG,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,11,10.07,3.22
115,Cory Joseph,2011,PG,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,5,10.75,3.27
116,Enes Kanter,2011,C,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,14,11.3,3.26
117,Jimmy Butler,2011,SF,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,14,11.92,3.15
118,Justin Harper,2011,PF,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,19,11.92,3.3
119,Kyle Singler,2011,SF,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,10,11.22,3.21
120,Shelvin Mack,2011,PG,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,17,11.23,3.18
121,Tyler Honeycutt,2011,SF,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,,11.68,3.07
122,Jordan Williams,2011,PF,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45
123,Trey Thompkins,2011,PF,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41
124,Chandler Parsons,2011,SF,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,4,11.05,3.29
125,Jeremy Tyler,2011,PF,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29
126,Tristan Thompson,2011,PF,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26
127,Jon Leuer,2011,PF,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,17,10.82,3.36
128,Darius Morris,2011,PG,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,12,11,3.2
129,Malcolm Lee,2011,PG,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,17,11.2,3.09
130,Charles Jenkins,2011,SG,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,16,11.68,3.18
131,Andrew Goudelock,2011,SG,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,4,10.33,3.1
132,Travis Leslie,2011,SG,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,10,11,3.13
133,Keith Benson,2011,C,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,12,11.88,3.35
134,Josh Selby,2011,PG,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,5,11.13,3.2
135,Jon Diebler,2011,SG,51,77.25,78.5,78,99,35,134,28,127,197,8.5,8.25,8.25,2,10.94,3.37
136,DeAndre Liggins,2011,SG,53,77,78.25,83,103.5,31,134.5,27,130.5,202,5,8.75,10,6,,3.33
137,E'Twaun Moore,2011,SG,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,,11.12,3.31
138,Isaiah Thomas,2011,PG,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,13,10.49,3.14
139,Brandon Knight,2011,PG,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10,10.74,3.07
140,Kemba Walker,2011,PG,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16
151,Anthony Davis,2012,PF,1,81.25,82.5,89.5,108,,,,,222,7.9,9,8.5,,,
152,Austin Rivers,2012,SG,10,75.5,77,79.25,96.5,37.5,134,32.5,129,203,6.2,8.5,10,1,11.54,3.32
153,Meyers Leonard,2012,C,11,83.75,85.25,87,108,32.5,140.5,30,138,250,5.7,9.25,11,19,11.34,3.41
154,Jeremy Lamb,2012,SG,12,76,77.25,83,102,38,140,31.5,133.5,179,4.5,8.75,9.25,5,10.98,3.25
155,Kendall Marshall,2012,PG,13,75.25,76.25,77.5,96,37,133,31,127,198,7.8,8.5,9,,12.03,3.23
156,John Henson,2012,PF,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,5,,
157,Moe Harkless,2012,SF,15,79.25,80.75,84,102.5,37,139.5,32.5,135,207,5.3,9.25,10.25,5,10.87,3.25
158,Royce White,2012,PF,16,79,80,84,104.5,,,,,261,10.6,9.5,11.5,,,
159,Tyler Zeller,2012,C,17,83.25,84.5,84,104.5,34,138.5,30,134.5,247,6.4,9,9.75,16,11.13,3.4
160,Terrence Jones,2012,PF,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,12,11.57,3.4
161,Andrew Nicholson,2012,PF,19,80.5,81.5,88,107,30.5,137.5,28.5,135.5,234,7.6,10,10.75,10,11.89,3.67
162,Michael Kidd-Gilchrist,2012,SF,2,77.75,79.5,84,104.5,35.5,140,32,136.5,233,7,9,10.25,6,11.77,3.18
163,Jared Sullinger,2012,PF,21,79.75,81,85.25,105.5,31,136.5,29.5,135,268,10.7,9.25,9.75,9,12.77,3.81
164,Fab Melo,2012,C,22,82.75,84,86.5,110,31,141,29.5,139.5,255,9.2,9,10,9,12.14,3.44
165,John Jenkins,2012,SG,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,10,11.36,3.37
166,Jared Cunningham,2012,SG,24,75.5,77,78.5,98,,,,,188,3.6,8.25,9,4,,
167,Tony Wroten,2012,PG,25,76.75,78,81,101,35.5,136.5,30,131,203,5.2,8,9,,10.75,3.24
168,Miles Plumlee,2012,C,26,82.5,83.75,84.75,105.5,40.5,146,34,139.5,252,11.4,9.25,9,15,10.64,3.36
169,Arnett Moultrie,2012,PF,27,81.5,82.75,86.25,106.5,37.5,144,33.5,140,233,7.7,9.25,9.25,10,11.32,3.22
170,Perry Jones,2012,PF,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11,11.31,3.19
171,Marquis Teague,2012,PG,29,73,74,79.25,96.5,40.5,137,32.5,129,180,6.3,8.25,7.75,8,10.65,3.19
172,Bradley Beal,2012,SG,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,8,10.95,3.28
173,Festus Ezeli,2012,C,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,18,12.35,3.29
174,Jeff Taylor,2012,SF,31,78,79.25,78.25,101.5,40,141.5,33.5,135,213,4.2,8.25,9.75,15,10.87,3.29
175,Tomas Satoransky,2012,SG,32,78.5,79.5,79.25,100,,,,,201,5.2,8.5,9.5,,,
176,Bernard James,2012,PF,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,6,11.84,3.4
177,Jae Crowder,2012,SF,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,20,11.45,3.37
178,Draymond Green,2012,PF,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,9,11.01,3.4
179,Orlando Johnson,2012,SG,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,13,10.98,3.25
180,Quincy Acy,2012,PF,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,13,10.48,3.28
181,Quincy Miller,2012,SF,38,80.75,82,85.25,105,36,141,30.5,135.5,219,7.8,9.25,10.25,8,11.05,3.48
182,Khris Middleton,2012,SF,39,78.75,80.25,82.75,103,31,134,28,131,216,7.8,9,9,4,11.45,3.47
183,Dion Waiters,2012,SG,4,74.5,76,79.25,98,,,,,221,8.5,8.5,9.5,,,
184,Will Barton,2012,PG,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,,12.5,3.6
185,Tyshawn Taylor,2012,PG,41,74.75,76,78.25,97.5,36.5,134,32,129.5,177,4.2,8.75,8.75,,11.48,3.2
186,Doron Lamb,2012,SG,42,75.25,76.75,78.75,98.5,33.5,132,29,127.5,199,6.7,8.5,8.75,2,11.12,3.41
187,Mike Scott,2012,PF,43,79.25,80.75,82.75,104,32.5,136.5,27,131,241,10.6,8.5,9,14,11.59,3.44
188,Kim English,2012,SG,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,,10.59,3.33
189,Darius Miller,2012,SF,46,78,79.5,81,101,37,138,33,134,233,7.5,8.5,8.75,14,11.34,3.31
190,Kevin Murphy,2012,SG,47,77,78.25,78.75,99,36.5,135.5,31,130,194,5.8,8.5,8.5,11,10.97,3.42
191,Kyle O'Quinn,2012,C,49,80.5,82,88.75,106.5,31.5,138,31.5,138,241,8,9.5,10,,11.65,3.53
192,Thomas Robinson,2012,PF,5,79.75,80.75,87.25,106,35.5,141.5,28.5,134.5,244,5,9.75,10.5,15,11.96,3.17
193,Kris Joseph,2012,PF,51,78,79,83,104,35,139,28.5,132.5,215,8.6,9,9,6,,3.46
194,Darius Johnson-Odom,2012,SG,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,17,10.76,3.21
195,Robbie Hummel,2012,PF,58,79.25,80.5,80.5,102,30,132,27.5,129.5,218,9.4,8.5,9.5,13,11.56,3.41
196,Marcus Denmon,2012,PG,59,74.25,75.25,77,94.5,40,134.5,33.5,128,188,6.6,8.25,9.75,8,10.82,3.19
197,Damian Lillard,2012,PG,6,73.75,74.75,79.75,95.5,39.5,135,34.5,130,189,5.9,8.75,9.75,13,11.15,3.34
198,Harrison Barnes,2012,SF,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,15,10.93,3.16
199,Terrence Ross,2012,SG,8,78,79,79.25,100.5,37.5,138,31,131.5,197,3.2,8.75,10.25,2,11.78,3.28
200,Andre Drummond,2012,C,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10,10.83,3.39
212,C.J. McCollum,2013,SG,10,74.25,75.25,78.25,96.5,38.5,135,32,128.5,197,8.6,8,9.5,13,11.02,3.32
213,Michael Carter-Williams,2013,PG,11,76.75,77.75,79.25,101,41,142,31.5,132.5,184,4.4,7.5,8.5,8,10.68,3.22
214,Steven Adams,2013,C,12,82.75,84,88.5,109.5,33,142.5,28.5,138,255,6.7,9.5,11,16,11.85,3.4
215,Kelly Olynyk,2013,C,13,82.75,84,81.75,108,29.5,137.5,24.5,132.5,234,6.7,8.5,10,5,11.42,3.59
216,Shabazz Muhammad,2013,SG,14,76.75,78.25,83,104.5,37,141.5,29.5,134,222,9,9,10,10,10.99,3.32
217,Dennis Schroeder,2013,PG,17,73,74,79.75,98,34,132,30,128,165,4.1,8.75,10.5,1,11.09,3.21
218,Shane Larkin,2013,PG,18,70.25,71.5,70.75,89.5,44,133.5,34.5,124,171,3.8,7.5,8.75,12,10.64,3.08
219,Victor Oladipo,2013,SG,2,75.25,76.25,81.25,100.5,42,142.5,33,133.5,213,6.6,8.75,9.25,15,10.69,3.25
220,Tony Snell,2013,SG,20,78,79.25,83.5,105.5,36.5,142,30,135.5,198,4.9,9,9.5,7,10.36,3.25
221,Gorgui Dieng,2013,C,21,81.75,82.75,87.5,111.5,,,,,230,5.4,9,10,,,
222,Mason Plumlee,2013,PF,22,83.25,84.5,83,108,36,144,30.5,138.5,238,6.2,9.75,9.5,14,10.89,3.29
223,Solomon Hill,2013,SF,23,77.5,79,81,103,37.5,140.5,29.5,132.5,226,7.6,9,10.5,14,10.77,3.19
224,Tim Hardaway Jr,2013,SG,24,76.5,78.25,79,101,37.5,138.5,31.5,132.5,199,6.1,8,9.25,16,10.68,3.25
225,Reggie Bullock,2013,SG,25,77.75,79,80.75,102,36.5,138.5,31,133,200,7,8.5,9,11,11.33,3.31
226,Andre Roberson,2013,SF,26,78.25,79,83,104.5,36.5,141,30,134.5,206,7.1,8.75,9.5,10,11.36,3.34
227,Rudy Gobert,2013,C,27,84.5,86,92.5,115,29,144,25,140,238,4.4,9.75,10,7,12.85,3.57
228,Archie Goodwin,2013,SG,29,75.75,77.25,81.5,102,36,138,30,132,189,4.6,8.5,9,1,10.75,3.27
229,Otto Porter,2013,SF,3,79.5,80.5,85.5,105.5,36,141.5,27,132.5,198,6.7,8.75,9.25,9,11.25,3.4
230,Allen Crabbe,2013,SG,31,77.25,78.25,83.25,103.5,36,139.5,30.5,134,197,4.7,8.25,8.5,10,10.67,3.32
231,Carrick Felix,2013,SG,33,76.75,78.25,81.25,103.5,38.5,142,32,135.5,203,3.3,8.5,9.5,15,11.16,3.25
232,Isaiah Canaan,2013,PG,34,71,72,76.5,94.5,40.5,135,33,127.5,188,5.9,8.25,9.5,16,10.98,3.22
233,Glen Rice,2013,SG,35,76.5,77.75,81.25,101.5,40.5,142,33,134.5,211,8.5,8.5,9,10,10.99,3.25
234,Ray McCallum,2013,PG,36,72.25,73.75,75.25,96.5,40,136.5,30.5,127,191,7.3,8,8.75,5,10.82,3.25
235,Tony Mitchell,2013,PF,37,79.5,80.75,86.5,106.5,38,144.5,33.5,140,236,5.6,9,10,13,11.82,3.52
236,Nate Wolters,2013,PG,38,75.5,76.75,75.75,98,,,,,196,5.5,8.25,8.75,8,,
237,Jeff Withey,2013,PG,39,82.75,84.5,86,110.5,29,139.5,26.5,137,222,8.7,9,9.75,10,12.49,3.47
238,Cody Zeller,2013,PF,4,82.75,84.25,82.75,106,37.5,143.5,35.5,141.5,230,4.8,8.5,10.5,17,10.82,3.15
239,Grant Jerrett,2013,PF,40,80.75,82.25,86,109,34,143,28.5,137.5,232,10.1,8.5,9.25,2,11.85,3.51
240,Jamaal Franklin,2013,SG,41,76,77.25,83.25,103.5,,,,,191,8.3,8.5,8.25,,,
241,Pierre Jackson,2013,PG,42,69.5,70.5,70,90,,,,,176,4.5,7.5,8.25,,,
242,Ricky Ledo,2013,SG,43,76.75,78,79.25,102.5,33.5,136,27,129.5,197,10.3,8.5,9.25,4,10.72,3.32
243,Mike Muscala,2013,C,44,82.25,83.5,85,108,33.5,141.5,28,136,230,6.8,8.5,9,5,11.76,3.44
244,Erick Green,2013,PG,46,73.5,75,77.75,98,,,,,178,4.4,8.5,9,5,,
245,Ryan Kelly,2013,C,48,81.75,83.75,83.5,110,,,,,228,14.8,9,10,,,
246,Erik Murphy,2013,PF,49,80.75,81.5,82.5,108,29.5,137.5,24.5,132.5,240,8,8.75,9.75,13,12.19,3.57
247,James Ennis,2013,SF,50,77.75,79,83.5,104.5,36.5,141,29.5,134,201,4.5,8.5,8.75,7,11.55,3.4
248,Lorenzo Brown,2013,PG,52,76,77.25,79,100,34,134,28,128,189,4,8.25,8.5,8,11.78,3.4
249,Colton Iverson,2013,C,53,82.5,84,86,110,,,,,263,9.6,9.25,9.5,12,,
250,Peyton Siva,2013,PG,56,71.5,73,75,93,41.5,134.5,33.5,126.5,181,6.1,8,9.75,15,10.59,3.16
251,Deshaun Thomas,2013,PF,58,77,79,82,104,32,136,28.5,132.5,220,9.1,8,8.75,5,12.94,3.53
252,Nerlens Noel,2013,PF,6,82,83.75,87.75,110,,,,,206,4.2,9.5,10,,,
